"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","주차 면(주차 가능 차량 수)","현재 주차중인 대수","현재 주차 차량 업데이트 시간","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","주차장 위치 좌표 위도","주차장 위치 좌표 경도","배정코드","배정코드명"
"1452167","힐스테이트옆 이륜차 주차장(구)(구)","종로구 숭인동 766-2","NS","노상 주차장","6","이륜차 전용 주차장","","0","미연계중","5","0","","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 10:07:02","Y","유료","Y","유료","0","1111017500012","0","0","0","0","0","0","0","0","0","37.57520211","127.02094848","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52895527","126.85143545","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52877552","126.85002015","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52896089","126.8501521","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52875602","126.84985196","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52875176","126.84982405","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52891685","126.84978277","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52867889","126.84922485","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52895209","126.85004635","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52910821","126.85134041","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52874439","126.84977335","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52873828","126.84972349","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52873517","126.84969878","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52884945","126.85058622","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52882335","126.85038418","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52913219","126.8515313","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52894578","126.8499948","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52868245","126.84925063","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52876003","126.8498981","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52896129","126.85148654","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52895824","126.85146088","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.5289239","126.85118632","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52893324","126.85126074","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52900453","126.85050676","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52877169","126.84999614","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52876607","126.84994813","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52881459","126.848967","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.5290076","126.85053176","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52894296","126.85133551","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52892695","126.85121113","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52881812","126.84899249","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52891446","126.85111131","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52899196","126.85040468","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52911126","126.85136544","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52864073","126.84891948","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52894917","126.8513856","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52863772","126.84889629","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52875831","126.84987696","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52865269","126.8490168","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52893648","126.85128531","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52893","126.85123605","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.5289564","126.85009789","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52866921","126.84912163","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52891779","126.85113624","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52892084","126.8511614","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52898731","126.85037963","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52898401","126.85035165","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52883919","126.85050973","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52876913","126.84997195","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52913866","126.85158121","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52910173","126.85128849","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52894159","126.84997125","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52868869","126.8493005","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52914162","126.85160622","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52884261","126.85053516","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52876301","126.84992348","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52869176","126.84932559","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52874115","126.84974826","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52911764","126.85141645","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52897658","126.85161311","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52891108","126.85108665","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52890811","126.8510623","PIS02","미배정미점유"
"1502605","화곡8동 배다리동길(구)","강서구 화곡동 890-0","NS","노상 주차장","1","시간제 주차장","","0","미연계중","108","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 10:43:39","N","무료","Y","유료","120000","1150010300297","200","5","200","5","0","0","0","0","10000","37.52882983","126.85043436","PIS02","미배정미점유"
